Pull request key: 6, Change set Size: 7, Accessible Developer: 3, Recommendation time: 0.15897703170776367  
Pull request key: 5, Change set Size: 3, Accessible Developer: 9, Recommendation time: 6.876241207122803  
Pull request key: 4, Change set Size: 15, Accessible Developer: 4, Recommendation time: 12.446001768112183  
Pull request key: 2, Change set Size: 33, Accessible Developer: 14, Recommendation time: 0.42388415336608887  
Pull request key: 7, Change set Size: 5, Accessible Developer: 8, Recommendation time: 11.01456880569458  
Pull request key: 8, Change set Size: 1, Accessible Developer: 10, Recommendation time: 7.686418771743774  
Pull request key: 9, Change set Size: 2, Accessible Developer: 13, Recommendation time: 0.09606289863586426  
Pull request key: 10, Change set Size: 1, Accessible Developer: 20, Recommendation time: 13.766261100769043  
Pull request key: 11, Change set Size: 4, Accessible Developer: 20, Recommendation time: 13.286580085754395  
Pull request key: 12, Change set Size: 1, Accessible Developer: 31, Recommendation time: 13.319321632385254  
Pull request key: 13, Change set Size: 4, Accessible Developer: 31, Recommendation time: 14.266199111938477  
Pull request key: 14, Change set Size: 1, Accessible Developer: 18, Recommendation time: 14.29747486114502  
Pull request key: 15, Change set Size: 1, Accessible Developer: 7, Recommendation time: 11.73871898651123  
Pull request key: 16, Change set Size: 9, Accessible Developer: 7, Recommendation time: 8.716751098632812  
Pull request key: 18, Change set Size: 50, Accessible Developer: 3, Recommendation time: 6.858989000320435  
Pull request key: 19, Change set Size: 3, Accessible Developer: 15, Recommendation time: 4.539407014846802  
Pull request key: 22, Change set Size: 1, Accessible Developer: 31, Recommendation time: 15.217687129974365  
Pull request key: 20, Change set Size: 8, Accessible Developer: 9, Recommendation time: 14.199450969696045  
Pull request key: 21, Change set Size: 11, Accessible Developer: 7, Recommendation time: 8.228485822677612  
Pull request key: 17, Change set Size: 13, Accessible Developer: 14, Recommendation time: 0.20370697975158691  
Pull request key: 25, Change set Size: 7, Accessible Developer: 5, Recommendation time: 9.546525955200195  
Pull request key: 26, Change set Size: 2, Accessible Developer: 12, Recommendation time: 4.393704891204834  
Pull request key: 29, Change set Size: 1, Accessible Developer: 31, Recommendation time: 13.111197233200073  
Pull request key: 30, Change set Size: 59, Accessible Developer: 7, Recommendation time: 0.6975739002227783  
Pull request key: 31, Change set Size: 1, Accessible Developer: 6, Recommendation time: 10.161212921142578  
Pull request key: 27, Change set Size: 290, Accessible Developer: 30, Recommendation time: 10.03586196899414  
Pull request key: 32, Change set Size: 24, Accessible Developer: 6, Recommendation time: 14.323501110076904  
Pull request key: 36, Change set Size: 1, Accessible Developer: 6, Recommendation time: 0.09447717666625977  
Pull request key: 35, Change set Size: 1, Accessible Developer: 11, Recommendation time: 6.938826084136963  
Pull request key: 41, Change set Size: 15, Accessible Developer: 8, Recommendation time: 0.22839903831481934  
Pull request key: 42, Change set Size: 34, Accessible Developer: 7, Recommendation time: 7.449846029281616  
Pull request key: 38, Change set Size: 29, Accessible Developer: 7, Recommendation time: 9.084099054336548  
Pull request key: 40, Change set Size: 18, Accessible Developer: 30, Recommendation time: 7.229130983352661  
Pull request key: 44, Change set Size: 5, Accessible Developer: 9, Recommendation time: 17.6949679851532  
Pull request key: 37, Change set Size: 29, Accessible Developer: 9, Recommendation time: 14.297142028808594  
Pull request key: 34, Change set Size: 84, Accessible Developer: 4, Recommendation time: 9.495257139205933  
Pull request key: 43, Change set Size: 61, Accessible Developer: 11, Recommendation time: 2.3034160137176514  
Pull request key: 46, Change set Size: 1, Accessible Developer: 14, Recommendation time: 12.275087118148804  
Pull request key: 47, Change set Size: 1, Accessible Developer: 20, Recommendation time: 12.20435380935669  
Pull request key: 45, Change set Size: 10, Accessible Developer: 4, Recommendation time: 15.718897104263306  
Pull request key: 48, Change set Size: 4, Accessible Developer: 11, Recommendation time: 4.551255226135254  
Pull request key: 50, Change set Size: 11, Accessible Developer: 5, Recommendation time: 15.687644243240356  
Pull request key: 49, Change set Size: 7, Accessible Developer: 5, Recommendation time: 4.397294759750366  
Pull request key: 54, Change set Size: 1, Accessible Developer: 31, Recommendation time: 5.159814119338989  
Pull request key: 52, Change set Size: 22, Accessible Developer: 31, Recommendation time: 14.56833004951477  
Pull request key: 53, Change set Size: 3, Accessible Developer: 13, Recommendation time: 14.497668981552124  
Pull request key: 51, Change set Size: 35, Accessible Developer: 7, Recommendation time: 12.659734010696411  
Pull request key: 57, Change set Size: 1, Accessible Developer: 31, Recommendation time: 8.866831064224243  
Pull request key: 55, Change set Size: 49, Accessible Developer: 8, Recommendation time: 17.931068897247314  
Pull request key: 58, Change set Size: 9, Accessible Developer: 6, Recommendation time: 7.751015901565552  
Pull request key: 59, Change set Size: 5, Accessible Developer: 10, Recommendation time: 6.34811806678772  
Pull request key: 61, Change set Size: 6, Accessible Developer: 12, Recommendation time: 12.184829950332642  
Pull request key: 62, Change set Size: 1, Accessible Developer: 10, Recommendation time: 10.374901056289673  
Pull request key: 63, Change set Size: 3, Accessible Developer: 12, Recommendation time: 12.584160804748535  
Pull request key: 60, Change set Size: 4, Accessible Developer: 5, Recommendation time: 13.609101057052612  
Pull request key: 65, Change set Size: 4, Accessible Developer: 4, Recommendation time: 0.3296389579772949  
Pull request key: 56, Change set Size: 109, Accessible Developer: 28, Recommendation time: 5.4648871421813965  
Pull request key: 66, Change set Size: 3, Accessible Developer: 4, Recommendation time: 12.451760053634644  
Pull request key: 67, Change set Size: 2, Accessible Developer: 11, Recommendation time: 4.3378050327301025  
Pull request key: 68, Change set Size: 3, Accessible Developer: 4, Recommendation time: 10.363820791244507  
Pull request key: 71, Change set Size: 9, Accessible Developer: 8, Recommendation time: 4.818185091018677  
Pull request key: 72, Change set Size: 5, Accessible Developer: 10, Recommendation time: 10.441519260406494  
Pull request key: 69, Change set Size: 2, Accessible Developer: 6, Recommendation time: 11.548454999923706  
Pull request key: 73, Change set Size: 3, Accessible Developer: 30, Recommendation time: 8.724591255187988  
Pull request key: 74, Change set Size: 7, Accessible Developer: 19, Recommendation time: 15.210345029830933  
Pull request key: 75, Change set Size: 3, Accessible Developer: 5, Recommendation time: 12.744707822799683  
Pull request key: 76, Change set Size: 7, Accessible Developer: 11, Recommendation time: 6.845123767852783  
Pull request key: 77, Change set Size: 3, Accessible Developer: 4, Recommendation time: 10.456408023834229  
Pull request key: 78, Change set Size: 1, Accessible Developer: 9, Recommendation time: 1.1044600009918213  
Pull request key: 79, Change set Size: 1, Accessible Developer: 10, Recommendation time: 12.558840990066528  
Pull request key: 80, Change set Size: 2, Accessible Developer: 30, Recommendation time: 12.578155755996704  
Pull request key: 81, Change set Size: 5, Accessible Developer: 15, Recommendation time: 14.912617921829224  
Pull request key: 70, Change set Size: 2, Accessible Developer: 30, Recommendation time: 12.25002908706665  
Pull request key: 82, Change set Size: 10, Accessible Developer: 11, Recommendation time: 14.860933303833008  
Pull request key: 84, Change set Size: 3, Accessible Developer: 10, Recommendation time: 13.505271196365356  
Pull request key: 85, Change set Size: 6, Accessible Developer: 3, Recommendation time: 10.583914041519165  
Pull request key: 83, Change set Size: 5, Accessible Developer: 30, Recommendation time: 1.0574870109558105  
Pull request key: 86, Change set Size: 4, Accessible Developer: 11, Recommendation time: 14.835903882980347  
Pull request key: 87, Change set Size: 1, Accessible Developer: 12, Recommendation time: 12.685327053070068  
Pull request key: 89, Change set Size: 2, Accessible Developer: 12, Recommendation time: 11.102618932723999  
Pull request key: 90, Change set Size: 2, Accessible Developer: 12, Recommendation time: 0.11717104911804199  
Pull request key: 91, Change set Size: 17, Accessible Developer: 13, Recommendation time: 14.821849822998047  
Pull request key: 92, Change set Size: 2, Accessible Developer: 7, Recommendation time: 12.444786071777344  
Pull request key: 93, Change set Size: 3, Accessible Developer: 7, Recommendation time: 11.365412950515747  
Pull request key: 94, Change set Size: 1, Accessible Developer: 12, Recommendation time: 11.983752012252808  
Pull request key: 95, Change set Size: 1, Accessible Developer: 10, Recommendation time: 13.312875032424927  
Pull request key: 96, Change set Size: 1, Accessible Developer: 8, Recommendation time: 11.700628995895386  
Pull request key: 98, Change set Size: 1, Accessible Developer: 30, Recommendation time: 9.886784791946411  
Pull request key: 99, Change set Size: 2, Accessible Developer: 8, Recommendation time: 15.750161170959473  
Pull request key: 100, Change set Size: 3, Accessible Developer: 8, Recommendation time: 12.864522933959961  
Pull request key: 97, Change set Size: 6, Accessible Developer: 6, Recommendation time: 11.929474830627441  
Pull request key: 101, Change set Size: 4, Accessible Developer: 11, Recommendation time: 10.50454306602478  
Pull request key: 103, Change set Size: 5, Accessible Developer: 11, Recommendation time: 12.222152948379517  
Pull request key: 105, Change set Size: 3, Accessible Developer: 10, Recommendation time: 12.045469284057617  
Pull request key: 106, Change set Size: 4, Accessible Developer: 10, Recommendation time: 10.285671949386597  
Pull request key: 107, Change set Size: 2, Accessible Developer: 3, Recommendation time: 10.469219207763672  
Pull request key: 108, Change set Size: 3, Accessible Developer: 3, Recommendation time: 1.1257517337799072  
Pull request key: 102, Change set Size: 2, Accessible Developer: 30, Recommendation time: 1.0021331310272217  
Pull request key: 109, Change set Size: 3, Accessible Developer: 3, Recommendation time: 14.800337076187134  
Pull request key: 110, Change set Size: 21, Accessible Developer: 3, Recommendation time: 1.2464048862457275  
Pull request key: 112, Change set Size: 3, Accessible Developer: 3, Recommendation time: 4.549026012420654  
Pull request key: 113, Change set Size: 5, Accessible Developer: 6, Recommendation time: 0.13277292251586914  
Pull request key: 114, Change set Size: 9, Accessible Developer: 17, Recommendation time: 7.032708168029785  
Pull request key: 115, Change set Size: 2, Accessible Developer: 6, Recommendation time: 12.44966983795166  
Pull request key: 118, Change set Size: 36, Accessible Developer: 4, Recommendation time: 0.5445020198822021  
Pull request key: 119, Change set Size: 1, Accessible Developer: 15, Recommendation time: 4.452415227890015  
Pull request key: 120, Change set Size: 40, Accessible Developer: 5, Recommendation time: 14.680845022201538  
Pull request key: 123, Change set Size: 1, Accessible Developer: 31, Recommendation time: 3.8000600337982178  
Pull request key: 117, Change set Size: 1, Accessible Developer: 12, Recommendation time: 14.277423858642578  
Pull request key: 122, Change set Size: 39, Accessible Developer: 7, Recommendation time: 14.653676986694336  
Pull request key: 125, Change set Size: 4, Accessible Developer: 3, Recommendation time: 0.9477620124816895  
Pull request key: 126, Change set Size: 5, Accessible Developer: 7, Recommendation time: 1.1502583026885986  
Pull request key: 127, Change set Size: 2, Accessible Developer: 11, Recommendation time: 7.828235149383545  
Pull request key: 128, Change set Size: 1, Accessible Developer: 11, Recommendation time: 10.484224081039429  
Pull request key: 129, Change set Size: 3, Accessible Developer: 11, Recommendation time: 10.337273836135864  
Pull request key: 130, Change set Size: 7, Accessible Developer: 10, Recommendation time: 10.425410032272339  
Pull request key: 124, Change set Size: 1, Accessible Developer: 10, Recommendation time: 8.324477910995483  
Pull request key: 132, Change set Size: 1, Accessible Developer: 15, Recommendation time: 10.434345960617065  
Pull request key: 133, Change set Size: 1, Accessible Developer: 31, Recommendation time: 11.604317903518677  
Pull request key: 134, Change set Size: 1, Accessible Developer: 14, Recommendation time: 17.470086336135864  
Pull request key: 131, Change set Size: 13, Accessible Developer: 4, Recommendation time: 12.444520950317383  
Pull request key: 135, Change set Size: 8, Accessible Developer: 30, Recommendation time: 4.418710947036743  
Pull request key: 136, Change set Size: 5, Accessible Developer: 1, Recommendation time: 15.554832935333252  
Pull request key: 137, Change set Size: 29, Accessible Developer: 7, Recommendation time: 0.436920166015625  
Pull request key: 138, Change set Size: 1, Accessible Developer: 15, Recommendation time: 6.324408054351807  
Pull request key: 139, Change set Size: 1, Accessible Developer: 31, Recommendation time: 11.076720237731934  
Pull request key: 140, Change set Size: 5, Accessible Developer: 12, Recommendation time: 17.419734001159668  
Pull request key: 141, Change set Size: 7, Accessible Developer: 3, Recommendation time: 0.36194396018981934  
Pull request key: 144, Change set Size: 4, Accessible Developer: 6, Recommendation time: 0.22495222091674805  
Pull request key: 148, Change set Size: 9, Accessible Developer: 4, Recommendation time: 8.66362714767456  
Pull request key: 149, Change set Size: 1, Accessible Developer: 31, Recommendation time: 0.27138805389404297  
Pull request key: 154, Change set Size: 1, Accessible Developer: 31, Recommendation time: 0.1099860668182373  
Pull request key: 155, Change set Size: 1, Accessible Developer: 31, Recommendation time: 17.537835121154785  
Pull request key: 153, Change set Size: 1, Accessible Developer: 31, Recommendation time: 17.572269916534424  
Pull request key: 156, Change set Size: 1, Accessible Developer: 30, Recommendation time: 16.195852756500244  
Pull request key: 157, Change set Size: 1, Accessible Developer: 10, Recommendation time: 15.30262303352356  
Pull request key: 158, Change set Size: 3, Accessible Developer: 12, Recommendation time: 10.441025972366333  
Pull request key: 159, Change set Size: 1, Accessible Developer: 31, Recommendation time: 10.600139141082764  
Pull request key: 160, Change set Size: 1, Accessible Developer: 31, Recommendation time: 0.1852741241455078  
Pull request key: 162, Change set Size: 398, Accessible Developer: 31, Recommendation time: 17.8364839553833  
Pull request key: 163, Change set Size: 2, Accessible Developer: 1, Recommendation time: 17.787801027297974  
Pull request key: 165, Change set Size: 1, Accessible Developer: 9, Recommendation time: 0.09526228904724121  
Pull request key: 166, Change set Size: 1, Accessible Developer: 2, Recommendation time: 11.431591033935547  
Pull request key: 167, Change set Size: 1, Accessible Developer: 2, Recommendation time: 0.08864164352416992  
Pull request key: 168, Change set Size: 4, Accessible Developer: 31, Recommendation time: 0.38309192657470703  
Pull request key: 171, Change set Size: 10, Accessible Developer: 9, Recommendation time: 14.192538976669312  
Pull request key: 172, Change set Size: 1, Accessible Developer: 12, Recommendation time: 12.37624192237854  
Pull request key: 24, Change set Size: 68, Accessible Developer: 5, Recommendation time: 0.8492653369903564  
Pull request key: 274, Change set Size: 1, Accessible Developer: 30, Recommendation time: 0.15383410453796387  
Pull request key: 279, Change set Size: 1, Accessible Developer: 30, Recommendation time: 0.22854399681091309  
Pull request key: 288, Change set Size: 2, Accessible Developer: 30, Recommendation time: 0.2234187126159668  
Pull request key: 312, Change set Size: 1, Accessible Developer: 31, Recommendation time: 0.1675889492034912  
Pull request key: 314, Change set Size: 1, Accessible Developer: 31, Recommendation time: 0.29207897186279297  
Pull request key: 315, Change set Size: 1, Accessible Developer: 31, Recommendation time: 0.11231589317321777  
Pull request key: 316, Change set Size: 1, Accessible Developer: 31, Recommendation time: 0.2642390727996826  
